Applicant Street,Applicant Zip Code,Type of Award,Race and Ethnicity,Primary Language Spoken,Gender Identity,Do you have a mobile housing voucher?,Receive SNAP/EBT Benefits?,How many in household?,Total Monthly Income all sources,Are you currently employed?,Total Amount Awarded,Date Payment Issued,Disposition of case,"If ineligible, why?",longitude,latitude
Harrison Avenue,02118,Rental Arrears,Latino,English,Female,,,,0,,3066.0,,Approved,,-71.0729,42.3362
Harrison Avenue,02119,Future Stipend; Rental Arrears; Utility Payments,White,English,Female,No,No,3.0,4284,Yes,14594.89,12/10/2021,Approved,,-71.0953,42.3251
Harrison Ave,02119,Rental Arrears; Utility Payments,Latino,Spanish,Male,No,No,5.0,2600,Yes,8027.95,,Approved,,-71.0953,42.3251
Harrison Ave,02119,Future Stipend; Rental Arrears,Latino,Spanish,Female,No,Yes,5.0,5000,Yes,11150.41,,Approved,,-71.0953,42.3251
Harrison Ave,02118,Rental Arrears,Black/African American; Latino; Multi-Racial; White,Spanish,Male,,,4.0,2000,Yes,7040.0,,Approved,,-71.0729,42.3362
Harrison Avenue,02118,Rental Arrears,Black/African American,Haitian Creole,Female,,,3.0,0,,2752.0,,Approved,,-71.0729,42.3362
Hartford st,02125,Rental Arrears,Black/African American,English,Female,No,Yes,4.0,5280,No,10000.0,9/30/2022,Approved,,-71.0745,42.2973
Hartford Ct,02125,Rental Arrears,Black/African American,English,Female,,,2.0,2420,,4000.0,,Approved,,-71.0745,42.2973
Hartford Street,02125,Moving Costs; Rental Arrears,Black/African American,English,Female,Yes,No,2.0,2340,Yes,3533.0,9/30/2022,Approved,,-71.0745,42.2973
Hartford Street,02125,Future Stipend; Rental Arrears,Asian,English,Male,,,1.0,1380,Yes,3325.0,6/23/2021,Approved,,-71.0745,42.2973
hartwell street,02121,Future Stipend; Rental Arrears,Black,English,Male,No,Yes,2.0,3058.43,No,8610.0,,Approved,,-71.0745,42.2973
Hartwell ,02125,Moving Costs,Black/African American,English,Female,,,2.0,2200,No,2347.0,,Approved,,-71.0745,42.2973
Hartwell St,02121,,White,English,Male,No,Yes,1.0,900,,1490.0,,Approved,,-71.0745,42.2973
Hartwell St,02121,Rental Arrears,Black/African American,English,Female,Yes,Yes,3.0,2760,Yes,2496.0,4/1/2022,Approved,,-71.0745,42.2973
Harvard park,02124,Moving Costs; Rental Arrears,Black/African American,English,Male,No,No,1.0,2768.18,Yes,4500.0,9/9/2022,Approved,,-71.0717,42.2918
Harvard ave,02121,Future Stipend; Rental Arrears; Utility Payments,Latino,Spanish,Female,No,Yes,3.0,3429,No,9668.23,,Approved,,-71.0745,42.2973
harvard avenue,02121,Rental Arrears,Middle Eastern/West Asian or North African,English,Female,No,No,3.0,4230,No,8000.0,,Approved,,-71.0745,42.2973
Harvard Ave,02121,Future Stipend; Rental Arrears; Utility Payments,Black; Latino,English,Male,No,No,1.0,1000,No,11633.03,,Approved,,-71.0745,42.2973
Harvard ave,02121,Rental Arrears,Black,Spanish,Male,No,Yes,1.0,0,No,14800.0,11/9/2021,Approved,,-71.0745,42.2973
Harvard Ave,02121,Future Stipend; Rental Arrears,Black/African American,English,Female,No,Yes,1.0,500,Yes,5600.0,,Approved,,-71.0745,42.2973
Harvard Ave,02136,Future Stipend; Rental Arrears,Black/African American,English,Male,,,1.0,150,Yes,5000.0,,Approved,,-71.1261,42.254
Harvard Ave,02136,Future Stipend; Rental Arrears,Black/African American,English,Male,,,1.0,1200,Unemployment application was accepted,7000.0,,Approved,,-71.1261,42.254
Harvard Ave,02136,Future Stipend; Rental Arrears,White,English,Female,No,Yes,1.0,1455,No,5000.0,,Approved,,-71.1261,42.254
HARVARD ave,02136,Future Stipend,White,English,Male,No,No,1.0,1500,No,3900.0,10/15/2021,Approved,,-71.1261,42.254
Harvard Ave,02136,Future Stipend; Rental Arrears,Latino,English,Male,No,No,1.0,1789,Yes,4800.0,11/12/2021,Approved,,-71.1261,42.254
Harvard ave,02136,Future Stipend; Rental Arrears,Black/African American,English,Female,No,No,1.0,2900,Yes,6000.0,,Approved,,-71.1261,42.254
Harvard Ave,02136,Rental Arrears,Black/African American,English,Female,No,No,1.0,3000,Yes,2200.0,5/21/2021,Approved,,-71.1261,42.254
Harvard Ave,02136,Rental Arrears,Black/African American,English,Female,,,1.0,3000,,2200.0,,Approved,,-71.1261,42.254
Harvard Ave,02136,Future Stipend; Rental Arrears,Black/African American,English,Female,,,1.0,3000,Yes,7800.0,7/8/2021,Approved,,-71.1261,42.254
Harvard Ave,02136,Future Stipend; Rental Arrears,Latino,English,Male,,,1.0,5090,Yes,4300.0,,Approved,,-71.1261,42.254
Harvard Ave,02136,,Black/African American,English,,No,Yes,1.0,0,,3000.0,,Approved,,-71.1261,42.254
Harvard Ave,02136,,Black/African American,English,Male,No,No,1.0,1328,,3940.0,,Approved,,-71.1261,42.254
Harvard Avenue,02134,Rental Arrears,Black,English,Not reported,,,4.0,1016,,3950.0,,Approved,,-71.1329,42.3535
Harvard Street,02124,Utility Payments,Latino,English,Female,No,Yes,2.0,0,No,322.83,,Approved,,-71.0717,42.2918
Harvard Street,02124,Rental Arrears,Black/African American,English,Female,,,6.0,3906,Yes,15000.0,,Approved,,-71.0717,42.2918
Harvard st,02124,Rental Arrears,Black;Latino,English,Female,Yes,Yes,6.0,250,Yes,5405.0,,Approved,,-71.0717,42.2918
Harvard St,02124,Rental Arrears,Black/African American,Haitian Creole,Male,Yes,No,1.0,841,No,4404.0,6/3/2022,Approved,,-71.0717,42.2918
Harvard St,02124,Rental Arrears,Latino,English,Female,No,No,3.0,5066.01,Yes,1453.0,,Approved,,-71.0717,42.2918
Harvard St,02124,,Latino,English,Female,No,No,3.0,4400,,6000.0,,Approved,,-71.0717,42.2918
Harvard Street,02124,Future Stipend; Rental Arrears,White,English,Female,No,No,1.0,2928,No,2664.8,,Approved,,-71.0717,42.2918
Harvard street,02124,Utility Payments,Black/African American,English,Female,No,Yes,2.0,1794,No,928.86,,Approved,,-71.0717,42.2918
Harvard Street,02126,Rental Arrears,Black/African American,English,Female,Yes,No,3.0,5258.04,Yes,1742.0,8/5/2022,Approved,,-71.0939,42.2739
Harvard st,02126,Rental Arrears,Black;Latino,English,Female,No,No,2.0,4600,Yes,4200.0,,Approved,,-71.0939,42.2739
Harvard St,02126,Rental Arrears,Black/African American,English,Female,Yes,No,2.0,4550,Yes,6480.0,,Approved,,-71.0939,42.2739
Harvard ST.,02126,Rental Arrears,Black/African American,English,Female,No,No,4.0,3520.12,Yes,2496.0,8/12/2022,Approved,,-71.0939,42.2739
Harve St,02128,Rental Arrears,Latino,,Female,,,4.0,2000,,3300.0,,Approved,,-71.0257,42.3642
Harve Street,02128,Rental Arrears,White,English,Not reported,,,4.0,500,,1500.0,,Approved,,-71.0257,42.3642
Harve St,02128,Rental Arrears,Latino,English,Female,,,4.0,2446,,4000.0,,Approved,,-71.0257,42.3642
Harwood St,02124,,White,English,Female,No,No,2.0,2521.32,,6000.0,,Approved,,-71.0717,42.2918
Harwood street.,02124,Moving Costs; Utility Payments,Other Race;Latino,Spanish,Female,Yes,Yes,4.0,633,Yes,17000.0,,Approved,,-71.0717,42.2918
"Havelock St.,",02119,Rental Arrears,Black/African American,English,Female,,,3.0,0,,3754.0,,Approved,,-71.0953,42.3251
Havre St,02128,Rental Arrears,White,Spanish,Male,,,2.0,8000,,4000.0,,Approved,,-71.0257,42.3642
Havre St.,02128,Rental Arrears,White,English,Male,,,4.0,3000,,4000.0,,Approved,,-71.0257,42.3642
Havre St,02128,Rental Arrears,Latino,Spanish,Female,No,No,3.0,1500,,6000.0,,Approved,,-71.0257,42.3642
Havre St,02128,,Latino,Spanish,Male,No,No,2.0,0,,4000.0,,Approved,,-71.0257,42.3642
Havre St,02128,Rental Arrears,Latino,Spanish,Male,,,6.0,2000,,4000.0,,Approved,,-71.0257,42.3642
Havre St,02128,Future Stipend,Latino,Spanish,Female,,,2.0,850,Yes,3300.0,,Approved,,-71.0257,42.3642
Havre St,02128,Rental Arrears,Latino,Spanish,Female,,,3.0,350,,4000.0,,Approved,,-71.0257,42.3642
Havre Street,02128,Future Stipend; Rental Arrears,Latino,Spanish,Female,,,3.0,0,No,6039.0,,Approved,,-71.0257,42.3642
Havre Street,02128,Rental Arrears,Latino,English,Female,,,2.0,428,,3150.0,,Approved,,-71.0257,42.3642
Havre St,02128,Rental Arrears,Latino,Spanish,Female,,,2.0,1482,Yes,15000.0,,Approved,,-71.0257,42.3642
Havre St,02128,Rental Arrears,Latino,Spanish,Male,,,3.0,0,,8400.0,,Approved,,-71.0257,42.3642
Havre St.,02128,Rental Arrears,Latino,Spanish,Female,,,3.0,1600,,3400.0,,Approved,,-71.0257,42.3642
Havre St,02128,Rental Arrears,Latino,Spanish,Female,,,5.0,#ERROR!,,4000.0,,Approved,,-71.0257,42.3642
Havre St,02128,Rental Arrears,Latino,Portguese,Female,No,No,6.0,0,,6000.0,,Approved,,-71.0257,42.3642
"Havre St,",02128,Rental Arrears,White,English,Male,,,3.0,15000,,4000.0,,Approved,,-71.0257,42.3642
Havre St,02111,Rental Arrears,Asian,,Female,,,3.0,2000,,4000.0,,Approved,,-71.0629,42.3503
Havre St,02128,Rental Arrears,Latino,Spanish,Female,,,3.0,2500,,4000.0,,Approved,,-71.0257,42.3642
Havre Street,02128,Rental Arrears,Latino,English,Female,,,3.0,3.2,,4000.0,,Approved,,-71.0257,42.3642
Havre St.,02128,Utility Payments,Latino,Spanish,Female,,,2.0,1067,,75.85,,Approved,,-71.0257,42.3642
Hawthorne Street,02119,Future Stipend; Utility Payments,Black/African American,English,Female,No,No,2.0,2600,No,7863.43,,Approved,,-71.0953,42.3251
hayed rd,02131,Future Stipend; Rental Arrears,Latino,English,Female,No,Yes,2.0,629,No,7300.0,4/22/2022,Approved,,-71.1295,42.2836
Hazelton Street,02126,Future Stipend; Rental Arrears,Black/African American,English,Male,,,1.0,0,No,6000.0,,Approved,,-71.0939,42.2739
Hazelton St,02126,Future Stipend; Rental Arrears; Utility Payments,Black/African American,Haitian Creole,Female,,,4.0,0,No,7237.03,,Approved,,-71.0939,42.2739
Hazelton Street,02126,Rental Arrears,Black/African American,English,Female,Yes,Yes,2.0,1918,No,9118.0,3/4/2022,Approved,,-71.0939,42.2739
Hazelton Street,02126,Utility Payments,Black/African American,English,Male,Yes,Yes,4.0,1898,No,1889.83,5/6/2022,Approved,,-71.0939,42.2739
hazelton st,02126,Rental Arrears,Black/African American,English,Female,Yes,Yes,3.0,1000,Yes,1740.0,,Approved,,-71.0939,42.2739
HAZELTON STREET,02126,Future Stipend,Black/African American,English,Female,No,Yes,3.0,1500,Yes,3375.0,,Approved,,-71.0939,42.2739
Hazelton St,02126,Utility Payments,Black/African American,English,Female,Yes,No,3.0,25000,Yes,2000.0,4/8/2022,Approved,,-71.0939,42.2739
Heath st,02130,Rental Arrears; Utility Payments,White,English,Female,Yes,Yes,3.0,0,No,559.02,,Approved,,-71.1115,42.3126
Heath St,02130,Future Stipend; Rental Arrears; Utility Payments,Latino,English,Female,No,No,1.0,3200,Yes,4864.22,,Approved,,-71.1115,42.3126
heath st,02130,Future Stipend; Rental Arrears,Black/African American,Spanish,Female,No,Yes,3.0,4000,No,4322.41,,Approved,,-71.1115,42.3126
Heath St,02130,Rental Arrears,Black/African American; White,English,Female,No,Yes,5.0,0,,6000.0,,Approved,,-71.1115,42.3126
Heath St,02130,Future Stipend; Rental Arrears,Black/African American,English,Female,No,No,5.0,0,,6000.0,,Approved,,-71.1115,42.3126
Heath St,02130,Rental Arrears,Black/African American,English,Female,No,No,5.0,894,,2337.0,,Approved,,-71.1115,42.3126
Heath St,02130,Future Stipend; Rental Arrears,Middle Eastern/West Asian or North African,Arabic,Male,No,No,3.0,0,,5498.0,,Approved,,-71.1115,42.3126
Heath St,02130,Rental Arrears,Black/African American; White,English,Female,,,5.0,0,No,598.35,,Approved,,-71.1115,42.3126
Heath st,02130,Utility Payments,Black/African American,English,Female,No,No,3.0,0,No,1664.92,,Approved,,-71.1115,42.3126
Heath St,02130,,Black/African American,English,Female,No,No,2.0,3602,,3538.0,,Approved,,-71.1115,42.3126
Heath street,02124,Future Stipend; Rental Arrears; Utility Payments,Middle Eastern/West Asian or North African,Arabic,Male,No,No,3.0,0,Yes,9590.44,,Approved,,-71.0717,42.2918
Heath Street,02130,Future Stipend; Rental Arrears; Utility Payments,Black/African American,English,Female,,,2.0,5005,No,8013.76,,Approved,,-71.1115,42.3126
Heath St,02130,Rental Arrears,Latino,Spanish,Male,No,No,1.0,0,,6000.0,,Approved,,-71.1115,42.3126
Hecla st,02122,Utility Payments,Black/African American,English,Female,Yes,Yes,3.0,0,No,1250.09,5/4/2022,Approved,,-71.0745,42.2973
Hemenway Street,02115,Future Stipend; Rental Arrears,Multi-Racial,English,Female,Yes,Yes,2.0,1231,No,14791.43,,Approved,,-71.0922,42.3427
Hemenway Street,02115,Future Stipend; Rental Arrears; Utility Payments,Black/African American,English,Female,Yes,Yes,2.0,1600,No,3256.64,,Approved,,-71.0922,42.3427
Hemenway Street,02136,Future Stipend; Rental Arrears,Black/African American,English,Female,,,4.0,0,No,14002.14,,Approved,,-71.1261,42.254
Hemenway St,02115,,Black/African American,English,Female,No,No,4.0,56000,,2937.0,,Approved,,-71.0922,42.3427
Hemenway St,02115,Future Stipend; Rental Arrears,Asian,Chinese Mandarin,Female,No,Yes,4.0,2000,,4000.0,,Approved,,-71.0922,42.3427
Hemenway St,02115,Rental Arrears,Black/African American,English,Female,No,Yes,3.0,2200,,1448.0,,Approved,,-71.0922,42.3427
Hemenway St.,02115,Future Stipend; Rental Arrears,Asian,English,Female,No,Yes,4.0,800,No,4000.0,,Approved,,-71.0922,42.3427
Hemenway Street,02115,Future Stipend; Rental Arrears; Utility Payments,Black/African American,English,Female,,,3.0,2400,,4315.26,,Approved,,-71.0922,42.3427
Hemenway St,02115,Future Stipend; Utility Payments,Latino,English,Male,No,Yes,1.0,250,No,904.87,,Approved,,-71.0922,42.3427
Hemenway Street,02115,Future Stipend; Moving Costs,Latino,Spanish,Female,No,No,2.0,4420,No,5976.0,,Approved,,-71.0922,42.3427
Hemenway Street,02115,Rental Arrears,White,English,Female,No,No,2.0,2783,Yes,2715.1,,Approved,,-71.0922,42.3427
Hemenway Street,02115,Future Stipend; Rental Arrears,White,English,Female,No,No,2.0,5000,Yes,7100.0,,Approved,,-71.0922,42.3427
Henchmen St.,02113,Rental Arrears,White,English,Male,,,1.0,0,No,12300.0,,Approved,,-71.056,42.3657
Hestia Park,02119,Rental Arrears,Black/African American,Haitian Creole,Male,,,3.0,2000,,5400.0,11/16/2021,Approved,,-71.0953,42.3251
Hewins St,02121,Rental Arrears,Black/African American,English,Female,,,3.0,4384,No,15000.0,,Approved,,-71.0745,42.2973
Hewins Street,02121,Rental Arrears,Black/African American,English,Male,,,1.0,608,,17000.0,,Approved,,-71.0745,42.2973
Hiawatha Rd,02126,Rental Arrears,Black/African American; Multi-Racial,English,Female,No,Yes,2.0,2400,,6000.0,,Approved,,-71.0939,42.2739
Hiawatha Road,02126,Future Stipend; Rental Arrears,Black/African American,English,Female,,,2.0,1900,,15000.0,,Approved,,-71.0939,42.2739
Hiawatha Road,02126,Utility Payments,Black/African American,English,Female,Yes,Yes,4.0,0,No,2000.0,,Approved,,-71.0939,42.2739
Hichborn St,02135,Future Stipend; Rental Arrears; Utility Payments,Asian,Chinese Cantonese,Female,No,No,1.0,0,No,8275.13,,Approved,,-71.1566,42.3478
High Crest,02131,Future Stipend; Rental Arrears,Black/African American,English,Male,,,1.0,1055,No,16236.64,,Approved,,-71.1295,42.2836
Highcrest Rd,02131,Rental Arrears,White,English,Female,No,No,2.0,3476,,3004.0,,Approved,,-71.1295,42.2836
Highcrest Terrace,02131,Future Stipend; Rental Arrears; Utility Payments,Latino,English,Female,Yes,Yes,4.0,1783,Yes,5577.66,,Approved,,-71.1295,42.2836
highcrest terrace,02131,Future Stipend; Rental Arrears; Utility Payments,Black/African American,English,Male,No,No,3.0,1700,Yes,6305.58,11/30/2021,Approved,,-71.1295,42.2836
highland ave,02119,Moving Costs; Rental Arrears; Utility Payments,Multi-Racial,English,Female,No,Yes,2.0,2343,No,5264.56,10/14/2022,Approved,,-71.0953,42.3251
Highland Street,02136,Rental Arrears,White,,Not reported,,,1.0,14000,,3000.0,,Approved,,-71.1261,42.254
Highland St,02119,Future Stipend; Rental Arrears,Black/African American,English,Male,,,3.0,0,All or some members of the household are not eligible,4750.0,,Approved,,-71.0953,42.3251
Highland St,02136,,Black/African American,English,Male,,,3.0,0,All or some members of the household are not eligible,4750.0,,Approved,,-71.1261,42.254
Highland St,02119,Future Stipend; Rental Arrears,Black/African American,English,Male,No,No,3.0,900,,4000.0,,Approved,,-71.0953,42.3251
Highland st,02119,Future Stipend; Rental Arrears,Black/African American,English,Male,No,No,3.0,45000,Yes,8687.0,,Approved,,-71.0953,42.3251
Highland Street,02119,Rental Arrears,Black;Latino,English,Female,Yes,Yes,2.0,1132,Yes,516.0,9/9/2022,Approved,,-71.0953,42.3251
Highland Street,02119,Rental Arrears; Utility Payments,Black;Latino,Spanish,Female,Yes,Yes,2.0,1428.89,Yes,2008.29,,Approved,,-71.0953,42.3251
Highland St,02119,Rental Arrears; Utility Payments,Black/African American,English,Female,,,3.0,0,,11666.0,,Approved,,-71.0953,42.3251
Highland Street,02119,Rental Arrears,Black,English,Male,No,Yes,1.0,951,No,2400.0,,Approved,,-71.0953,42.3251
Highland St.,02119,Rental Arrears; Utility Payments,Latino,Spanish,Female,,,6.0,3000,No,5890.74,,Approved,,-71.0953,42.3251
Highland Street,02119,Rental Arrears,Latino,Spanish,Not reported,,,6.0,1.7,,4000.0,,Approved,,-71.0953,42.3251
Highland Street,02119,Future Stipend; Rental Arrears; Utility Payments,Black/African American,English,Female,Yes,Yes,5.0,200,No,3121.6,,Approved,,-71.0953,42.3251
Highland Street,02119,Rental Arrears,Black/African American; White,English,Male,,,1.0,0,No,14850.0,,Approved,,-71.0953,42.3251
Hill Ave.,02121,Future Stipend; Rental Arrears; Utility Payments,Latino,English,Female,,,3.0,4000,Yes,7882.17,10/15/2021,Approved,,-71.0745,42.2973
Hillside St,02120,Future Stipend; Rental Arrears,Black/African American,English,Male,No,Yes,1.0,0,No,10500.0,,Approved,,-71.0912,42.3307
Hillside St,02120,Future Stipend; Rental Arrears,American Indian or Alaskan Native; Black/African American,English,Male,No,No,1.0,200,No,10500.0,,Approved,,-71.0912,42.3307
Hillside St,02120,Future Stipend; Rental Arrears,Black/African American,English,Male,No,No,1.0,1400,No,9000.0,,Approved,,-71.0912,42.3307
Hillside St.,02120,Future Stipend; Rental Arrears,Black/African American,English,Male,No,No,1.0,1000,Yes,10500.0,,Approved,,-71.0912,42.3307
Hiolborn St.,02121,Rental Arrears,Black/African American,English,Male,No,No,1.0,0,No,15000.0,,Approved,,-71.0745,42.2973
Holborn St,02121,Rental Arrears,White,English,Male,,,1.0,2396,,12464.0,,Approved,,-71.0745,42.2973
Holborn St,02121,,White,English,Male,No,Yes,4.0,1068,,4400.0,,Approved,,-71.0745,42.2973
Holborn St,02121,,Black/African American,English,Male,No,No,1.0,0,,6000.0,,Approved,,-71.0745,42.2973
"Holiday street,Dorchester",02122,Rental Arrears,Latino,Spanish,Male,No,No,1.0,0,No,10500.0,,Approved,,-71.0745,42.2973
Holiday St.,02122,Future Stipend; Rental Arrears,Black/African American,English,Male,No,Yes,2.0,1200,No,4800.0,,Approved,,-71.0745,42.2973
Holiday St,02122,Rental Arrears,Black/African American,English,Male,,,1.0,0,,5875.0,,Approved,,-71.0745,42.2973
Holiday St,02122,,White,English,Male,No,Yes,1.0,1308,,1875.0,,Approved,,-71.0745,42.2973
Holiday Street,02122,Future Stipend; Rental Arrears,Latino,Spanish,Male,No,No,1.0,0,No,17000.0,,Approved,,-71.0745,42.2973
Hollander #2,02121,Rental Arrears,Latino,Spanish,Female,No,Yes,3.0,454,,6000.0,,Approved,,-71.0745,42.2973
Hollander street,02121,Rental Arrears; Utility Payments,Black;Latino,English,Female,Yes,Yes,5.0,#ERROR!,Yes,6304.0,8/19/2022,Approved,,-71.0745,42.2973
Hollander Street,02121,Rental Arrears,Latino,Spanish,Female,,,3.0,1601,Yes,15000.0,,Approved,,-71.0745,42.2973
Hollander Street,02121,Future Stipend; Rental Arrears,Black/African American,English,Female,Yes,No,4.0,4500,Yes,10415.0,,Approved,,-71.0745,42.2973
Hollander Street,02121,Rental Arrears,American Indian or Alaskan Native; Black/African American,,Not reported,,,3.0,2000,,3800.0,,Approved,,-71.0745,42.2973
Hollingsworth st,02126,Rental Arrears,Black,English,Male,No,Yes,1.0,0,No,15000.0,,Approved,,-71.0939,42.2739
Hollingsworth Street,02126,Future Stipend; Rental Arrears; Utility Payments,Black/African American,English,Female,,,2.0,3273.3,Yes,9900.0,,Approved,,-71.0939,42.2739
Hollingsworth st,02126,Future Stipend; Rental Arrears,Black/African American,English,Female,Yes,No,2.0,0,Yes,5249.0,,Approved,,-71.0939,42.2739
holmfield ave,02136,Moving Costs,Black/African American,English,Female,Yes,No,3.0,3898.44,Yes,4033.0,4/15/2022,Approved,,-71.1261,42.254
Holton St,02134,Future Stipend; Rental Arrears; Utility Payments,Black/African American,English,Female,No,No,2.0,0,No,8054.6,4/1/2022,Approved,,-71.1329,42.3535
Holworthy st,02121,Rental Arrears,Latino,English,Female,No,Yes,2.0,1000,Yes,1488.0,1/14/2022,Approved,,-71.0745,42.2973
